,Query_No,No Plan,Default Plan,Plan 1,Plan 2,Plan 3,Plan 4,Plan 5,mean_duration,min_duration,max_duration,std deviation
0,1,2027.75,1683.75,1344.0,589.75,90.0,1980.75,82.25,1114.0357142857142,82.25,2027.75,851.6290079969709
1,3,1152.5,1156.0,5253.75,6308.5,1363.5,6680.0,1254.5,3309.8214285714284,1152.5,6680.0,2627.8803511349124
2,4,3289.0,4148.25,3215.0,3410.0,129.0,4394.5,132.75,2674.0714285714284,129.0,4394.5,1792.6289744062913
3,6,2828.25,2574.25,2609.25,2769.75,121.0,2019.5,132.75,1864.9642857142858,121.0,2828.25,1215.8305154345753
4,9,1124.75,1195.25,3081.75,3773.5,1202.75,3898.25,1152.0,2204.035714285714,1124.75,3898.25,1316.2966391592379
5,14,3550.75,5187.75,3460.5,3031.0,19.25,3410.25,15.5,2667.8571428571427,15.5,5187.75,1936.0948929543226
6,19,2156.0,2703.0,2136.5,2398.25,78.25,2484.5,78.25,1719.25,78.25,2703.0,1137.6161296031862
7,20,2336.25,3391.0,3675.5,2800.5,1180.0,3055.0,1140.5,2511.25,1140.5,3675.5,1015.7570965376843
8,22,3929.5,3003.75,3176.0,3929.5,117.25,3535.0,121.0,2544.5714285714284,117.25,3929.5,1692.7363369844754
9,23,3753.75,3301.25,3839.75,3418.25,117.25,3316.5,98.0,2549.25,98.0,3839.75,1680.7140657569728
10,24,1171.75,1140.75,5433.75,5918.0,1375.25,5656.0,1340.0,3147.9285714285716,1140.75,5918.0,2364.097439273803
11,27,3711.0,5195.0,3714.75,3469.0,539.5,3879.0,543.0,3007.3214285714284,539.5,5195.0,1775.6477498500706
12,29,3015.5,4219.25,3222.5,3058.25,101.75,4089.5,97.25,2543.4285714285716,97.25,4219.25,1736.5352820240325
13,30,3144.5,3375.0,15.25,2551.0,19.75,3187.5,16.0,1758.4285714285713,15.25,3375.0,1648.3650404408666
14,31,3250.25,2871.25,3242.25,3719.0,23.75,3207.0,20.0,2333.3571428571427,20.0,3719.0,1598.190219026032
15,33,3523.25,3730.25,23.0,3054.5,19.75,3281.25,38.75,1952.9642857142858,19.75,3730.25,1813.3101202667744
16,41,3984.5,3808.75,3234.25,3285.0,1164.25,3402.25,1183.5,2866.0714285714284,1164.25,3984.5,1187.8069578208485
17,42,3800.5,3070.25,2878.75,3558.75,140.25,3426.0,137.0,2430.214285714286,137.0,3800.5,1594.5983391108991
18,47,2859.5,2383.25,2667.75,1933.75,1796.75,2191.25,1394.0,2175.1785714285716,1394.0,2859.5,510.91589968175685
19,48,3242.25,3199.0,3414.0,4128.75,144.25,3597.75,152.5,2554.0714285714284,144.25,4128.75,1671.958031983544
20,50,3117.5,1219.0,18769.75,16039.0,1390.5,16703.25,1281.25,8360.035714285714,1219.0,18769.75,8307.627776914533
0,Sum,60969.0,62556.0,78408.0,83144.0,11134.0,87395.0,10410.75,,,,
